osmid,x,y,risk_score,risk_level
3685885028,76.8824253,8.8237824,1.0,High
2018499135,76.860373,8.8977314,0.9715909090909091,High
7634263180,76.5953613,8.9225312,0.9659090909090909,High
5414073032,76.5465242,9.0692288,0.9318181818181819,High
6801301247,76.5876957,8.9105551,0.9261363636363635,High
7353512498,76.6810318,8.8939572,0.8977272727272729,High
8262623690,76.6792246,8.938663,0.8977272727272729,High
2872660872,76.5942292,8.9207552,0.8977272727272725,High
10837654211,76.9214895,9.0429908,0.8863636363636365,High
1877768688,76.9221509,8.829261,0.8863636363636365,High
3526233531,76.8499678,8.9384554,0.8863636363636365,High
2579408704,76.9085336,8.9287337,0.8863636363636365,High
8594067798,76.8504487,8.9013376,0.8787878787878787,High
457808501,76.5742873,8.8932885,0.8693181818181819,High
2570442469,76.6146287,9.0421897,0.8636363636363639,High
6269363068,76.5920798,8.9224388,0.8636363636363639,High
6981899421,76.9214925,9.0421093,0.8579545454545454,High
4000215689,76.7696118,8.8115219,0.8579545454545454,High
309666359,76.7834549,9.007276,0.8579545454545454,High
1877768543,76.9231622,8.8271994,0.8579545454545454,High
457808599,76.5712202,8.8862421,0.8409090909090913,High
7558021887,76.5928652,8.9198593,0.8409090909090909,High
2447881312,76.5799665,8.9066708,0.8409090909090909,High
3930444829,76.5481559,9.0116007,0.8409090909090909,High
7557980157,76.5893039,8.9156021,0.8409090909090909,High
10595735813,76.5934025,8.9201842,0.8409090909090909,High
5437383525,76.5953527,9.0336658,0.8409090909090909,High
7589577067,76.5890946,8.9140581,0.8409090909090909,High
7589347339,76.5812785,8.9076586,0.8409090909090909,High
2872651627,76.5840149,8.9089734,0.8409090909090909,High
2578253539,76.6783541,8.9534261,0.8409090909090909,High
2887193808,76.866169,8.8913412,0.8409090909090909,High
7490900617,76.5913371,8.9185217,0.8409090909090909,High
7494954926,76.5920505,8.9192182,0.8409090909090909,High
5201592521,76.5820053,8.9080466,0.8409090909090909,High
281360193,76.598146,8.8888728,0.8352272727272728,High
5415845626,76.8040391,8.9846028,0.8295454545454548,High
2933988078,76.9185365,8.9477634,0.8295454545454548,High
2933991347,76.9252018,8.9677433,0.8295454545454548,High
2892011848,77.0348275,8.8516413,0.8295454545454548,High
5206164252,76.8777171,8.8267609,0.8295454545454548,High
7458333153,76.9247494,8.9809516,0.8295454545454548,High
2887193807,76.8691705,8.8867916,0.8295454545454548,High
7458953693,76.8539258,8.9238712,0.8295454545454548,High
8252736198,76.9930807,8.8179762,0.8295454545454548,High
11257373865,76.9800792,8.8169334,0.8295454545454548,High
2887307374,76.8822195,8.8257938,0.8295454545454548,High
7458908948,76.92594,9.0176077,0.8295454545454548,High
11357519872,77.0237034,8.833934,0.8295454545454548,High
281012916,76.86885,9.0865918,0.8295454545454548,High
